file,frame,distance_safe,sitting
60cm.h5,501,False,True
60cm.h5,502,False,True
60cm.h5,503,False,True
60cm.h5,504,False,True
60cm.h5,505,False,True
60cm.h5,506,False,True
60cm.h5,507,True,True
60cm.h5,508,True,True
60cm.h5,509,True,True
60cm.h5,510,True,True
60cm.h5,511,True,True
60cm.h5,512,True,True
60cm.h5,513,True,True
60cm.h5,514,True,True
60cm.h5,515,True,True
60cm.h5,516,True,True
60cm.h5,517,True,True
60cm.h5,518,True,True
60cm.h5,519,True,True
60cm.h5,520,True,True
60cm.h5,521,True,True
60cm.h5,522,True,True
60cm.h5,523,False,True
60cm.h5,524,False,True
60cm.h5,525,True,True
60cm.h5,526,True,True
60cm.h5,527,True,True
60cm.h5,528,True,True
60cm.h5,529,True,True
60cm.h5,530,True,True
60cm.h5,531,True,True
60cm.h5,532,True,True
60cm.h5,533,True,True
60cm.h5,534,True,True
60cm.h5,535,True,True
60cm.h5,536,True,True
60cm.h5,537,True,True
60cm.h5,538,True,True
60cm.h5,539,True,True
60cm.h5,540,True,True
60cm.h5,541,True,True
60cm.h5,542,True,True
60cm.h5,543,True,True
60cm.h5,544,True,True
60cm.h5,545,True,True
60cm.h5,546,True,True
60cm.h5,547,True,True
60cm.h5,548,True,True
60cm.h5,549,True,True
60cm.h5,550,True,True
60cm.h5,551,True,True
60cm.h5,552,True,True
60cm.h5,553,True,True
60cm.h5,554,True,True
60cm.h5,555,True,True
60cm.h5,556,True,True
60cm.h5,557,False,True
60cm.h5,558,False,True
60cm.h5,559,False,True
60cm.h5,560,False,True
60cm.h5,561,False,True
60cm.h5,562,False,True
60cm.h5,563,False,True
60cm.h5,564,True,True
60cm.h5,565,True,True
60cm.h5,566,True,True
60cm.h5,567,True,True
60cm.h5,568,True,True
60cm.h5,569,True,True
60cm.h5,570,True,True
60cm.h5,571,True,True
60cm.h5,572,False,True
60cm.h5,573,False,True
60cm.h5,574,False,True
60cm.h5,575,False,True
60cm.h5,576,False,True
60cm.h5,577,False,True
60cm.h5,578,False,True
60cm.h5,579,False,True
60cm.h5,580,False,True
60cm.h5,581,False,True
60cm.h5,582,True,True
60cm.h5,583,True,True
60cm.h5,584,True,True
60cm.h5,585,True,True
60cm.h5,586,True,True
60cm.h5,587,True,True
60cm.h5,588,True,True
60cm.h5,589,True,True
60cm.h5,590,True,True
60cm.h5,591,True,True
60cm.h5,592,True,False
60cm.h5,593,True,True
60cm.h5,594,True,False
60cm.h5,595,True,False
60cm.h5,596,True,False
60cm.h5,597,True,False
60cm.h5,598,True,True
60cm.h5,599,True,False
60cm.h5,600,True,False
60cm.h5,601,True,True
60cm.h5,602,True,True
60cm.h5,603,True,True
60cm.h5,604,True,True
60cm.h5,605,True,True
60cm.h5,606,True,False
60cm.h5,607,True,True
60cm.h5,608,True,True
60cm.h5,609,True,True
60cm.h5,610,True,True
60cm.h5,611,True,True
60cm.h5,612,True,True
60cm.h5,613,False,True
60cm.h5,614,False,True
60cm.h5,615,False,True
60cm.h5,616,False,True
60cm.h5,617,False,True
60cm.h5,618,False,True
60cm.h5,619,False,True
60cm.h5,620,False,True
60cm.h5,621,False,True
60cm.h5,622,False,True
60cm.h5,623,False,True
60cm.h5,624,False,True
60cm.h5,625,False,True
60cm.h5,626,False,True
60cm.h5,627,False,True
60cm.h5,628,False,True
60cm.h5,629,True,True
60cm.h5,630,False,True
60cm.h5,631,True,True
60cm.h5,632,True,True
60cm.h5,633,True,True
60cm.h5,634,True,True
60cm.h5,635,True,True
60cm.h5,636,True,True
60cm.h5,637,True,True
60cm.h5,638,True,True
60cm.h5,639,True,True
60cm.h5,640,True,True
60cm.h5,641,True,True
60cm.h5,642,True,True
60cm.h5,643,True,True
60cm.h5,644,True,True
60cm.h5,645,True,True
60cm.h5,646,True,True
60cm.h5,647,True,False
60cm.h5,648,True,False
60cm.h5,649,True,True
